sl_id,sl_store,sl_address,sl_address2,sl_city,sl_state,sl_zip,sl_country,sl_latitude,sl_longitude,sl_tags,sl_description,sl_email,sl_url,sl_hours,sl_phone,sl_fax,sl_image,sl_private,sl_neat_title,sl_linked_postid,sl_pages_url,sl_option_value,sl_lastupdated
1170,A A A Equipment Repair,5816 Roseville Rd #8,,Sacramento,CA,95842,USA,38.6717571,-121.3682867,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",SOS Service and Installation,info@thehvac.net,http://aaaequ.myhvacshop.com/,"7-7 Monday - Saturday, 9-5 Sunday",(916) 338-4822,1-800-282-4912,,,,,http://aaaequ.myhvacshop.com/services/,,
1171,AAA Heating and Air Cond.,8830 Balboa Blvd.,,Northridge,CA,91324,USA,34.231134,-118.501897,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",Specializing in Your Comfort Since 1968,info@thehvac.net,http://aaaheat.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(818) 262-2481,1-800-282-4912,,,,,http://aaaheat.myhvacshop.com/services/,,
1174,AA Marthedal Co. Inc,1441 N. Thesta St,,Fresno,CA,93703,USA,36.762119,-119.784122,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation","Your 911 For Plumbing, Heating & A/C",info@thehvac.net,http://aamart.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(559) 266-9525,1-800-282-4912,,,,,http://aamart.myhvacshop.com/services/,,
1175,All Air Mechanical,5310 C Scotts Valley Dr,,Scotts Valley,CA,95066,USA,37.057505,-122.009966,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",One Call Gets it All Expert Quality Service,info@thehvac.net,http://aamech.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(831) 438-5254,1-800-282-4912,,,,,http://aamech.myhvacshop.com/services/,,
1178,A and I HVAC,2947 Glen Como Way,,San Jose,CA,95148,USA,37.333595,-121.800274,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",Remarkable Service. Remarkable Craftstmen,info@thehvac.net,http://aandihvac.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(408) 472-1366,1-800-282-4912,,,,,http://aandihvac.myhvacshop.com/services/,,
1179,A and A Plumbing,1030 E. El Camino Real Ste# 248,,Sunnyvale,CA,94087,USA,37.3520159,-122.0058944,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation","Your 911 For Plumbing, Heating & A/C",info@thehvac.net,http://aaplumbing.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(408) 738-8878,1-800-282-4912,,,,,http://aaplumbing.myhvacshop.com/services/,,
1182,Aaron's Heating and Air,1220 E. F Street,,Oakdale,CA,95361,USA,37.770523,-120.837508,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",Our comfort depends on your comfort,info@thehvac.net,http://aarondixon.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(209) 847-1051,1-800-282-4912,,,,,http://aarondixon.myhvacshop.com/services/,,
1183,Aaron's Heating and Air,811 River Avenue,,Oakdale,CA,95361,USA,37.774429,-120.854869,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",Don't Delay Call Today,info@thehvac.net,http://aaronhe.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(209) 450-2713,1-800-282-4912,,,,,http://aaronhe.myhvacshop.com/services/,,
1184,Aaron Heating and A/C,113 West First Avenue,,La Habra,CA,90631,USA,33.9310321,-117.9466736,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",Your Comfort is Our Specialty,info@thehvac.net,http://aaronheating.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(562) 941-0140,1-800-282-4912,,,,,http://aaronheating.myhvacshop.com/services/,,
1185,Aaron's Air,2673 Sirius St,,Thousand Oaks,CA,91360,USA,34.216076,-118.875725,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",Where Experts Fix Your Problems,info@thehvac.net,http://aarons.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(805) 492-1730,1-800-282-4912,,,,,http://aarons.myhvacshop.com/services/,,
1187,ABC Air Conditioning and Heating,8553 Cayuga Avenue,,Sun Valley,CA,91352,USA,34.225198,-118.386915,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",When You Need an Expert,info@thehvac.net,http://abcair.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(805) 636-7734,1-800-282-4912,,,,,http://abcair.myhvacshop.com/services/,,
1188,ABC Cooling and Heating,31845 Hayman Street,,Hayward,CA,94544,USA,37.6076765,-122.0456007,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",SOS Service and Installation,info@thehvac.net,http://abccoo.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(510) 471-8181,1-800-282-4912,,,,,http://abccoo.myhvacshop.com/services/,,
1189,ABC Heating and A/C,2282 Orchard Drive,,Newport Beach,CA,92660,USA,33.6563019,-117.874486,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",Specializing in Your Comfort Since 1968,info@thehvac.net,http://abcheat.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(949) 756-0064,1-800-282-4912,,,,,http://abcheat.myhvacshop.com/services/,,
1191,ABCO Heat AC and SheetMetal,37429 Centralmont Place,,Fremont,CA,94536,USA,37.5422776,-122.0173924,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",Furnace Repair Service,info@thehvac.net,http://abcoac.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(510) 792-4328,1-800-282-4912,,,,,http://abcoac.myhvacshop.com/services/,,
1192,ABC,5055 Katrina Place,,Palmdale,CA,93552,USA,34.565105,-118.038842,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",Local Heating Specialist,info@thehvac.net,http://abcpalmdale.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(661) 400-9522 Ext. 2000,1-800-282-4912,,,,,http://abcpalmdale.myhvacshop.com/services/,,
1194,ABC Plumbing Heating and Air Cond,205 22nd St,,Sacramento,CA,958116,USA,38.5842351,-121.4735807,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation","Your 911 For Plumbing, Heating & A/C",info@thehvac.net,http://abcplu.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(916) 448-0801,1-800-282-4912,,,,,http://abcplu.myhvacshop.com/services/,,
1196,AB/JDD Plumbing and Htg,390 S White Rd,,San Jose,CA,95127,USA,37.362691,-121.824574,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",One Call Gets it All Expert Quality Service,info@thehvac.net,http://abjdd.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(408) 251-1820,1-800-282-4912,,,,,http://abjdd.myhvacshop.com/services/,,
1197,Able Air Conditioing,630 North Tustin Avenue S 540,,Orange,CA,92867,USA,33.7786029,-117.8358481,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",Remarkable Service. Remarkable Craftstmen,info@thehvac.net,http://ableair.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(714) 997-0890,1-800-282-4912,,,,,http://ableair.myhvacshop.com/services/,,
1199,Abner's A/C and HTG,14163 Oro Grande Street,,Sylmar,CA,91342,USA,34.312998,-118.441216,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation","Your 911 For Plumbing, Heating & A/C",info@thehvac.net,http://abners.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(818) 367-9656,1-800-282-4912,,,,,http://abners.myhvacshop.com/services/,,
1200,Above All Heating and Air,3561 Oakleaf Drive,,San Jose,CA,95127,USA,37.354068,-121.79617,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",Most Respected Name in the Region,info@thehvac.net,http://aboveheating.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(408) 592-4132,1-800-282-4912,,,,,http://aboveheating.myhvacshop.com/services/,,
1201,"Conquest Air, Inc.",708 North La Reina Street,,Anaheim,CA,92801,USA,33.840757,-117.979752,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",When You Need it Fast and You Need it Expert,info@thehvac.net,http://absolu.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(714) 412-9591,1-800-282-4912,,,,,http://absolu.myhvacshop.com/services/,,
1202,Absolute Air Inc.,817 Arnold Drive #8,,Martinez,CA,94553,USA,37.997399,-122.115277,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",Our comfort depends on your comfort,info@thehvac.net,http://absoluteair.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(925) 228-8490,1-800-282-4912,,,,,http://absoluteair.myhvacshop.com/services/,,
1203,Academy Air Conditioning,6640 Rubio Ave,,Van Nuys,CA,91406,USA,34.1916,-118.49485,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",Don't Delay Call Today,info@thehvac.net,http://academ.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(818) 779-7701,1-800-282-4912,,,,,http://academ.myhvacshop.com/services/,,
1204,AC by Mark,26853 Palacete Dr,,Valencia,CA,91354,USA,34.4343519,-118.53685,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",Your Comfort is Our Specialty,info@thehvac.net,http://acbymark.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(661) 713-4954,1-800-282-4912,,,,,http://acbymark.myhvacshop.com/services/,,
1205,Accurate Air,630 Eubanks Ct. Ste B,,Vacaville,CA,95688,USA,38.3956114,-121.9618704,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",Where Experts Fix Your Problems,info@thehvac.net,http://acc.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(707) 446-9073,1-800-282-4912,,,,,http://acc.myhvacshop.com/services/,,
1206,AC Care Inc,10404 De Soto Ave,,Chatsworth,CA,91311,USA,34.259212,-118.587922,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",When You Need an Expert,info@thehvac.net,http://accare.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(818) 407-1900,1-800-282-4912,,,,,http://accare.myhvacshop.com/services/,,
1208,The Air Cond and Htg Co,1328 Blossom Hill Way,,Roseville,CA,95661,USA,38.7424319,-121.2511908,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",SOS Service and Installation,info@thehvac.net,http://accaulfield.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(916) 789-8413,1-800-282-4912,,,,,http://accaulfield.myhvacshop.com/services/,,
1209,Accel Air,2809 Canyon Falls Drive,,Modesto,CA,95351,USA,37.615543,-120.941723,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",Specializing in Your Comfort Since 1968,info@thehvac.net,http://accelair.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(209) 380-5380,1-800-282-4912,,,,,http://accelair.myhvacshop.com/services/,,
1210,Access Air Inc,39360 3rd Street East Ste.103,,Palmdale,CA,93550,USA,34.597453,-118.125169,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation","Your 911 For Plumbing, Heating & A/C",info@thehvac.net,http://access.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(661) 273-1223,1-800-282-4912,,,,,http://access.myhvacshop.com/services/,,
1211,ACCO Engineered Systems,6265 San Fernando Road,,Glendale,CA,91201,USA,34.1629905,-118.2935891,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",One Call Gets it All Expert Quality Service,info@thehvac.net,http://accoen.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(818) 244-6571,1-800-282-4912,,,,,http://accoen.myhvacshop.com/services/,,
1213,A/C Control Inc,2355 Westwood Blvd #145,,Los Angeles,CA,90064,USA,34.0412007,-118.4296529,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",Remarkable Service. Remarkable Craftstmen,info@thehvac.net,http://accon.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(310) 909-4814,1-800-282-4912,,,,,http://accon.myhvacshop.com/services/,,
1215,A/C Control Inc.,9610 Rudnick Ave,,Chatsworth,CA,91311,USA,34.244781,-118.612238,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation","Your 911 For Plumbing, Heating & A/C",info@thehvac.net,http://accont.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(818) 232-1506,1-800-282-4912,,,,,http://accont.myhvacshop.com/services/,,
1216,A.C. Cool,1018 West Collins,,Orange,CA,92867,USA,33.8023919,-117.8633233,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",Most Respected Name in the Region,info@thehvac.net,http://accool.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(949) 720-3938,1-800-282-4912,,,,,http://accool.myhvacshop.com/services/,,
1217,Accurate Comfort Sys Inc,2750 South Santa Fe Ave,,San Marcos,CA,92069,USA,33.1590029,-117.2015673,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",When You Need it Fast and You Need it Expert,info@thehvac.net,http://accosy.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(760) 727-4152,1-800-282-4912,,,,,http://accosy.myhvacshop.com/services/,,
1218,Accurate Climate Control,8467 Canoga Ave,,Canoga Park,CA,91304,USA,34.2240574,-118.5976985,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",Our comfort depends on your comfort,info@thehvac.net,http://accurate.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(818) 983-0808,1-800-282-4912,,,,,http://accurate.myhvacshop.com/services/,,
1219,AC Dave Heating and Air,16138 Spunky Canyon Road,,Green Valley,CA,91390,USA,34.620827,-118.414081,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",Don't Delay Call Today,info@thehvac.net,http://acdave.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(661) 270-1961,1-800-282-4912,,,,,http://acdave.myhvacshop.com/services/,,
1222,Ace Air Inc.,137 Heron Way,,Merced,CA,95341,USA,37.2847852,-120.5214773,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",Your Comfort is Our Specialty,info@thehvac.net,http://aceair.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(209) 722-2200,1-800-282-4912,,,,,http://aceair.myhvacshop.com/services/,,
1223,Ace Heating and A/C&#44; Inc.,1754 Leslie St,,San Mateo,CA,94402,USA,37.552802,-122.31033,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",Where Experts Fix Your Problems,info@thehvac.net,http://acehea.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(650) 571-6236,1-800-282-4912,,,,,http://acehea.myhvacshop.com/services/,,
1225,Air Conditioning Heating and Plumbing Services,2500 East Imperial HWY# 201-374,,Brea,CA,92821,USA,33.9099518,-117.8652861,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",When You Need an Expert,info@thehvac.net,http://achp.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(714) 993-2247,1-800-282-4912,,,,,http://achp.myhvacshop.com/services/,,
1226,ACMD,17168 Septo St.,,Northridge,CA,91325,USA,34.250962,-118.507571,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",SOS Service and Installation,info@thehvac.net,http://acmd.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(818) 448-4952,1-800-282-4912,,,,,http://acmd.myhvacshop.com/services/,,
1244,"ACME Environmental, Inc.",12706 Yukon Avenue,,Hawthorne,CA,90250,USA,33.9172597,-118.3352472,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",Specializing in Your Comfort Since 1968,info@thehvac.net,http://acme.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(310) 679-3700,1-800-282-4912,,,,,http://acme.myhvacshop.com/services/,,
1245,AC and Htg Mechanical Mast,9018 Balboa Blvd,,Northridge,CA,91325,USA,34.2343913,-118.5025291,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation","Your 911 For Plumbing, Heating & A/C",info@thehvac.net,http://acmech.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(818) 718-1614,1-800-282-4912,,,,,http://acmech.myhvacshop.com/services/,,
1248,A/C and Htg Mechanical Mast,9018 Balboa Blvd. #578,,Northridge,CA,91325,USA,34.2343913,-118.5025291,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",One Call Gets it All Expert Quality Service,info@thehvac.net,http://acmech3.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(818) 718-1614,1-800-282-4912,,,,,http://acmech3.myhvacshop.com/services/,,
1249,AC Norton Heating,21371 Fleet Lane,,Huntington Beach,Ca,92646,USA,33.652049,-117.965862,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",Remarkable Service. Remarkable Craftstmen,info@thehvac.net,http://acnorton.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(949) 355-2473,1-800-282-4912,,,,,http://acnorton.myhvacshop.com/services/,,
1253,A/C Quality Distributors,431 West Amador,,Fresno,CA,93706,USA,36.7348481,-119.8170317,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation","Your 911 For Plumbing, Heating & A/C",info@thehvac.net,http://acqual.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(559) 459-0100,1-800-282-4912,,,,,http://acqual.myhvacshop.com/services/,,
1254,A C Perfections Air Cond,8780 19th St #103,,Alta Loma,CA,91701,USA,35.126501,-115.401472,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",Most Respected Name in the Region,info@thehvac.net,http://acreng.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(909) 466-0203,1-800-282-4912,,,,,http://acreng.myhvacshop.com/services/,,
1255,A C S,13224 Community St,,Sun Valley,CA,91352,USA,34.223033,-118.421178,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",When You Need it Fast and You Need it Expert,info@thehvac.net,http://acs.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(818) 535-8975,1-800-282-4912,,,,,http://acs.myhvacshop.com/services/,,
1259,Air Conditioning System,1073 Elm Street,,San Jose,CA,95126,USA,37.345824,-121.92414,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",Our comfort depends on your comfort,info@thehvac.net,http://acsyst.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(408) 248-7892,1-800-282-4912,,,,,http://acsyst.myhvacshop.com/services/,,
1260,Air Conditioning Systems,5151-C Port Chicago Hwy,,Concord,CA,94520,USA,38.018188,-122.02709,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",Don't Delay Call Today,info@thehvac.net,http://acsystems.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(925) 676-2103,1-800-282-4912,,,,,http://acsystems.myhvacshop.com/services/,,
1262,Action Air Control,1772 East Goshen Avenue,,Fresno,CA,93720,USA,36.850719,-119.751185,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",Your Comfort is Our Specialty,info@thehvac.net,http://actionair.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(559) 367-9894,1-800-282-4912,,,,,http://actionair.myhvacshop.com/services/,,
1263,Active Appliance Inc,6736 Van Nuys Blvd,,Van Nuys,CA,91405,USA,34.193297,-118.448207,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",Where Experts Fix Your Problems,info@thehvac.net,http://active.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(818) 778-1999,1-800-282-4912,,,,,http://active.myhvacshop.com/services/,,
1264,Active Air,3342 W. Sussex Way,,Fresno,CA,93722,USA,36.7909914,-119.8518589,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",When You Need an Expert,info@thehvac.net,http://activeair.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(559) 264-3173,1-800-282-4912,,,,,http://activeair.myhvacshop.com/services/,,
1267,A/D Air Condit. and Htg Inc,16143 Valerio Street,,Van Nuys,CA,91406,USA,34.2048239,-118.485194,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",SOS Service and Installation,info@thehvac.net,http://adair.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(818) 780-8288,1-800-282-4912,,,,,http://adair.myhvacshop.com/services/,,
1268,Adam Air Conditioning Inc,1310 N. Pacific Ave,,Glendale,CA,91202,USA,34.164761,-118.264829,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",Specializing in Your Comfort Since 1968,info@thehvac.net,http://adamair.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(818) 438-2522,1-800-282-4912,,,,,http://adamair.myhvacshop.com/services/,,
1270,Advanced Aire Systems Inc,400 Peeble Ave Ste E,,Morgan Hill,CA,95037,USA,37.152927,-121.665233,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation","Your 911 For Plumbing, Heating & A/C",info@thehvac.net,http://advair.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(408) 778-9200,1-800-282-4912,,,,,http://advair.myhvacshop.com/services/,,
1271,Advanced Air,218 Reindollar Ave Ste 5A,,Marina,CA,93933,USA,36.680035,-121.8044593,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",One Call Gets it All Expert Quality Service,info@thehvac.net,http://advan.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(831) 384-1988,1-800-282-4912,,,,,http://advan.myhvacshop.com/services/,,
1272,Advanced A/C and Heating Co,605 W Covina Blvd,,San Dimas,CA,91773,USA,34.099788,-117.8165973,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",Remarkable Service. Remarkable Craftstmen,info@thehvac.net,http://advanc.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(909) 592-5733,1-800-282-4912,,,,,http://advanc.myhvacshop.com/services/,,
1273,Advance Heating and Cooling,457 Shepard Ave,,Hayward,CA,94544,USA,37.638235,-122.072367,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",Your 911 For Plumbing&#44; Heating &amp; A/C,info@thehvac.net,http://advance.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(510) 776-4372,1-800-282-4912,,,,,http://advance.myhvacshop.com/services/,,
1274,Advanced Heating and Air Conditioning,4721 West Jennifer Suite 18,,Fresno,CA,93722,USA,36.811256,-119.878826,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",Most Respected Name in the Region,info@thehvac.net,http://advancedheating.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(559) 438-0123,1-800-282-4912,,,,,http://advancedheating.myhvacshop.com/services/,,
1275,Advanced Heating and Air Cond,13161 B- Sherman Way,,North Hollywood,CA,91605,USA,34.1940808,-118.3644967,"Furnace Repair, A/C Repair, Furnace Installation, A/C Installation",When You Need it Fast and You Need it Expert,info@thehvac.net,http://advancestuart.myhvacshop.com/services/,"7-7 Monday - Saturday, 9-5 Sunday",(818) 503-9200,1-800-282-4912,,,,,http://advancestuart.myhvacshop.com/services/,,
